time,lon,lat,speed,weight,state
2024-07-25 12:53:54,86.187183,54.278131,0,1,0
2024-07-25 12:53:51,86.187183,54.278131,0,1,0
2024-07-25 12:53:49,86.187183,54.278131,0,1,0
2024-07-25 12:53:43,86.187183,54.278131,0,1,0
2024-07-25 12:53:40,86.187183,54.278131,0,1,0
2024-07-25 12:53:36,86.187183,54.278131,0,1,0
2024-07-25 12:53:30,86.187183,54.278131,0,1,0
2024-07-25 12:53:29,86.187183,54.278131,0,1,0
2024-07-25 12:53:24,86.187183,54.278131,0,1,0
2024-07-25 12:53:23,86.187183,54.278131,0,1,0
2024-07-25 12:53:18,86.187183,54.278131,0,1,0
2024-07-25 12:53:12,86.187183,54.278131,0,1,0
2024-07-25 12:53:07,86.187183,54.278131,0,1,0
2024-07-25 12:53:06,86.187183,54.278131,0,1,0
2024-07-25 12:53:00,86.187183,54.278131,0,1,0
2024-07-25 12:52:56,86.187183,54.278131,0,1,0
2024-07-25 12:52:54,86.187183,54.278131,0,1,0
2024-07-25 12:52:52,86.187183,54.278131,0,1,0
2024-07-25 12:52:48,86.187183,54.278131,0,1,0
2024-07-25 12:52:45,86.187183,54.278131,0,1,0
2024-07-25 12:52:41,86.187183,54.278131,0,1,0
2024-07-25 12:52:35,86.187183,54.278131,0,1,0
2024-07-25 12:52:34,86.187183,54.278131,0,1,0
2024-07-25 12:52:29,86.187183,54.278131,0,1,0
2024-07-25 12:52:23,86.187183,54.278131,0,1,0
2024-07-25 12:52:22,86.187183,54.278131,0,1,0
2024-07-25 12:52:17,86.187183,54.278131,0,1,0
2024-07-25 12:52:12,86.187183,54.278131,0,1,0
2024-07-25 12:52:11,86.187183,54.278131,0,1,0
2024-07-25 12:52:05,86.187183,54.278131,0,1,0
2024-07-25 12:52:01,86.187183,54.278131,0,1,0
2024-07-25 12:51:59,86.187183,54.278131,0,1,0
2024-07-25 12:51:52,86.187183,54.278131,0,1,0
2024-07-25 12:51:51,86.187183,54.278131,0,1,0
2024-07-25 12:51:50,86.187183,54.278131,0,1,0
2024-07-25 12:51:46,86.187183,54.278131,0,1,0
2024-07-25 12:51:40,86.187183,54.278131,0,1,0
2024-07-25 12:51:39,86.187183,54.278131,0,1,0
2024-07-25 12:51:34,86.187183,54.278131,0,1,0
2024-07-25 12:51:28,86.187183,54.278131,0,1,0
2024-07-25 12:51:22,86.187183,54.278131,0,1,0
2024-07-25 12:51:21,86.187183,54.278131,0,1,0
2024-07-25 12:51:17,86.187183,54.278131,0,1,0
2024-07-25 12:51:16,86.187183,54.278131,0,1,0
2024-07-25 12:51:10,86.187183,54.278131,0,1,0
2024-07-25 12:51:06,86.187183,54.278131,0,1,0
2024-07-25 12:51:04,86.187183,54.278131,0,1,0
2024-07-25 12:50:57,86.187183,54.278131,0,1,0
2024-07-25 12:50:55,86.187183,54.278131,0,1,0
2024-07-25 12:50:51,86.187183,54.278131,0,1,0
2024-07-25 12:50:50,86.187183,54.278131,0,1,0
2024-07-25 12:50:45,86.187183,54.278131,0,1,0
2024-07-25 12:50:44,86.187183,54.278131,0,1,0
2024-07-25 12:50:39,86.187183,54.278131,0,1,0
2024-07-25 12:50:33,86.187183,54.278131,0,1,0
2024-07-25 12:50:27,86.187183,54.278131,0,1,0
2024-07-25 12:50:22,86.187183,54.278131,0,1,0
2024-07-25 12:50:21,86.187183,54.278131,0,1,0
2024-07-25 12:50:20,86.187183,54.278131,0,1,0
2024-07-25 12:50:15,86.187183,54.278131,0,1,0
2024-07-25 12:50:11,86.187183,54.278131,0,1,0
2024-07-25 12:50:09,86.187183,54.278131,0,1,0
2024-07-25 12:50:03,86.187183,54.278131,0,1,0
2024-07-25 12:50:00,86.187183,54.278131,0,1,0
2024-07-25 12:49:56,86.187183,54.278131,0,1,0
2024-07-25 12:49:50,86.187183,54.278131,0,1,0
2024-07-25 12:49:49,86.187183,54.278131,0,1,0
2024-07-25 12:49:44,86.187183,54.278131,0,1,0
2024-07-25 12:49:38,86.187183,54.278131,0,1,0
2024-07-25 12:49:32,86.187183,54.278131,0,1,0
2024-07-25 12:49:27,86.187183,54.278131,0,1,0
2024-07-25 12:49:26,86.187183,54.278131,0,1,0
2024-07-25 12:49:20,86.187183,54.278131,0,1,0
